model_key,family,model_id,overall_accuracy,macro_f1,sciencedb_acc,mmcows_acc,sideview_acc,false_front_count,ambiguous_recall,mean_top1_score,mean_score_margin,mean_runtime_ms
openai_clip,OpenAI CLIP,openai/clip-vit-base-patch32,25.0,0.2371,15.0,35.0,25.0,12,60.0,0.3789,0.1573,23.5
openclip_laion,OpenCLIP LAION-2B,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,11.67,0.0868,10.0,15.0,10.0,1,100.0,0.6548,0.5089,20.5
google_siglip,Google SigLIP,google/siglip-base-patch16-224,8.33,0.0308,5.0,15.0,5.0,0,100.0,0.8472,0.7528,41.4
